Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
Tower of now,Bradford - City Centre,weekly,30/09/2025,632786.64,90398.09,494590.6479,70655.80573,138195.9921,19742.28427,YES
Tower of now,Bradford - City Centre,weekly,01/10/2025,591358.38,84479.77,462210.0181,66030.0037,129148.3619,18449.7663,YES
Tower of now,Bradford - City Centre,weekly,01/10/2025,561907.8,80272.54,439191.2302,62741.60208,122716.5698,17530.93792,YES
Tower of now,Bradford - City Centre,weekly,02/10/2025,617437.6,88205.37,482593.7264,68941.9598,134843.8736,19263.4102,YES
Tower of now,Bradford - City Centre,weekly,03/10/2025,631908.01,90272.57,493903.9043,70557.69838,138004.1057,19714.87162,YES
Tower of now,Bradford - City Centre,weekly,04/10/2025,606152.01,86593.14,473772.8271,67681.82909,132379.1829,18911.31091,YES
Tower of now,Bradford - City Centre,weekly,05/10/2025,635717.47,90816.78,496881.406,70983.05688,138836.064,19833.72312,YES
Tower of now,Bradford - City Centre,weekly,06/10/2025,593270.28,84752.9,463704.373,66243.4841,129565.907,18509.4159,YES
Tower of now,Bradford - City Centre,weekly,06/10/2025,577228.97,82461.28,451166.3683,64452.33721,126062.6017,18008.94279,YES
Tower of now,Bradford - City Centre,weekly,07/10/2025,558795.32,79827.9,436758.4931,62394.06822,122036.8269,17433.83178,YES
Tower of now,Bradford - City Centre,weekly,08/10/2025,555848.29,79406.9,434455.073,62065.01155,121393.217,17341.88845,YES
Tower of now,Bradford - City Centre,weekly,09/10/2025,576126.93,82303.85,450305.0058,64329.28877,125821.9242,17974.56123,YES
Tower of now,Bradford - City Centre,weekly,10/10/2025,619735.35,88533.62,484389.6646,69198.52239,135345.6854,19335.09761,YES
Tower of now,Bradford - City Centre,weekly,11/10/2025,569128.66,81304.09,444835.107,63547.86908,124293.553,17756.22092,YES
Tower of now,Bradford - City Centre,weekly,12/10/2025,588465.13,84066.45,459948.6328,65706.94978,128516.4972,18359.50022,YES
Tower of now,Bradford - City Centre,weekly,13/10/2025,573432.74,81918.96,448199.2073,64028.45595,125233.5327,17890.50405,YES
Tower of now,Bradford - City Centre,weekly,13/10/2025,546874.8,78124.97,427441.3279,61063.04572,119433.4721,17061.92428,YES
Tower of now,Bradford - City Centre,weekly,14/10/2025,575904,82272,450130.7621,64304.39458,125773.2379,17967.60542,YES
Tower of now,Bradford - City Centre,weekly,15/10/2025,550444.59,78634.94,430231.5017,61461.64199,120213.0883,17173.29801,YES
Tower of now,Bradford - City Centre,weekly,16/10/2025,522264.44,74609.21,408205.6912,58315.10209,114058.7488,16294.10791,YES
Tower of now,Bradford - City Centre,weekly,17/10/2025,573262.62,81894.66,448066.2402,64009.46289,125196.3798,17885.19711,YES
Tower of now,Bradford - City Centre,weekly,18/10/2025,575004.32,82143.47,449427.5656,64203.9346,125576.7544,17939.5354,YES
Tower of now,Bradford - City Centre,weekly,19/10/2025,549748.21,78535.46,429687.2061,61383.8877,120061.0039,17151.5723,YES
Tower of now,Bradford - City Centre,weekly,20/10/2025,546892.91,78127.56,427455.4828,61065.07009,119437.4272,17062.48991,YES
Tower of now,Bradford - City Centre,weekly,20/10/2025,616778.96,88111.28,482078.9286,68868.41837,134700.0314,19242.86163,YES
Tower of now,Bradford - City Centre,weekly,21/10/2025,663150.56,94735.79,518323.309,74046.18365,144827.251,20689.60635,YES
Tower of now,Bradford - City Centre,weekly,22/10/2025,575875.02,82267.86,450108.1111,64301.15873,125766.9089,17966.70127,YES
Tower of now,Bradford - City Centre,weekly,23/10/2025,620581.31,88654.47,485050.8731,69292.97963,135530.4369,19361.49037,YES
Tower of now,Bradford - City Centre,weekly,24/10/2025,605567.69,86509.67,473316.1183,67616.58833,132251.5717,18893.08167,YES
Tower of now,Bradford - City Centre,weekly,25/10/2025,653543.03,93363.29,510813.9936,72973.42765,142729.0364,20389.86235,YES
Tower of now,Bradford - City Centre,weekly,26/10/2025,613335.32,87619.33,479387.3545,68483.90667,133947.9655,19135.42333,YES
Tower of now,Bradford - City Centre,weekly,27/10/2025,689153.29,98450.47,538647.2322,76949.6046,150506.0578,21500.8654,YES
Tower of now,Bradford - City Centre,weekly,27/10/2025,662087.81,94583.97,517492.6559,73927.52003,144595.1541,20656.44997,YES
Tower of now,Bradford - City Centre,weekly,28/10/2025,605485.44,86497.92,473251.8311,67607.40444,132233.6089,18890.51556,YES
Tower of now,Bradford - City Centre,weekly,29/10/2025,621798.61,88828.37,486002.3236,69428.90114,135796.2864,19399.46886,YES
Tower of now,Bradford - City Centre,weekly,30/10/2025,688294.14,98327.73,537975.7143,76853.67012,150318.4257,21474.05988,YES
Tower of now,Bradford - City Centre,monthly,31/10/2025,2519284.64,81267.25,1969091.229,63519.07466,550193.4114,17748.17534,YES
Tower of now,Bradford - City Centre,monthly,01/11/2025,2463547.68,87983.85,1925526.815,68768.81816,538020.8654,19215.03184,YES
Tower of now,Bradford - City Centre,monthly,01/11/2025,2634895.21,84996.62,2059453.292,66433.97742,575441.9176,18562.64258,YES
Tower of now,Bradford - City Centre,monthly,02/11/2025,2679811.66,89327.06,2094560.317,69818.68088,585251.3431,19508.37912,YES
Tower of now,Bradford - City Centre,monthly,03/11/2025,2740086.1,88389.87,2141671.258,69086.16635,598414.8417,19303.70365,YES
Tower of now,Bradford - City Centre,monthly,03/11/2025,2675385.22,89179.51,2091100.579,69703.35472,584284.6408,19476.15528,YES
Tower of now,Bradford - City Centre,monthly,04/11/2025,3122350.13,100720.97,2440451.609,78724.24394,681898.5209,21996.72606,YES
Tower of now,Bradford - City Centre,monthly,05/11/2025,3022288.85,97493.19,2362242.984,76201.38758,660045.8663,21291.80242,YES
Tower of now,Bradford - City Centre,monthly,06/11/2025,2810718.03,93690.6,2196877.689,73229.25553,613840.3406,20461.34447,YES
Tower of now,Bradford - City Centre,monthly,07/11/2025,2896489.37,93435.14,2263917.194,73029.58613,632572.1764,20405.55387,YES
Tower of now,Bradford - City Centre,monthly,08/11/2025,2708982.78,90299.43,2117360.677,70578.69235,591622.1032,19720.73765,YES
Tower of now,Bradford - City Centre,monthly,09/11/2025,2752941.03,88804.55,2151718.765,69410.28325,601222.2647,19394.26675,YES
Tower of now,Bradford - City Centre,monthly,10/11/2025,2722227.62,87813.79,2127712.94,68635.89802,594514.6797,19177.89198,YES
Tower of now,Bradford - City Centre,monthly,10/11/2025,2617871.18,90271.42,2046147.186,70556.79953,571723.9935,19714.62047,YES
Tower of now,Bradford - City Centre,monthly,11/11/2025,2515306.87,81138.93,1965982.175,63418.77882,549324.6954,17720.15118,YES
Tower of now,Bradford - City Centre,monthly,12/11/2025,2119745.47,70658.18,1656808.503,55226.94826,462936.9675,15431.23174,YES
Tower of now,Bradford - City Centre,monthly,13/11/2025,2000926.37,64546.01,1563938.628,50449.63166,436987.7417,14096.37834,YES
Tower of now,Bradford - City Centre,monthly,14/11/2025,1867885.77,62262.86,1459953.126,48665.10498,407932.6439,13597.75502,YES
Tower of now,Bradford - City Centre,monthly,15/11/2025,2029143.52,65456.24,1585993.358,51161.07406,443150.1617,14295.16594,YES
Tower of now,Bradford - City Centre,monthly,16/11/2025,1899193.92,61264.32,1484423.804,47884.63885,414770.1158,13379.68115,YES
Tower of now,Bradford - City Centre,monthly,17/11/2025,1774200.7,59140.02,1386728.193,46224.27049,387472.5072,12915.74951,YES
Tower of now,Bradford - City Centre,monthly,17/11/2025,1729698.09,55796.71,1351944.629,43611.11504,377753.4613,12185.59496,YES
Tower of now,Bradford - City Centre,monthly,18/11/2025,1661952.28,55398.41,1298994.01,43299.80085,362958.27,12098.60915,YES
Tower of now,Bradford - City Centre,monthly,19/11/2025,1672509.05,53951.9,1307245.258,42169.1981,365263.7917,11782.7019,YES
Tower of now,Bradford - City Centre,monthly,20/11/2025,1458965.74,47063.41,1140338.252,36785.10413,318627.4885,10278.30587,YES
